x,y,z1,z2,dif
-2.0,1.0,26.298953994881064,26.268539122123784,0.030414872757280165
-2.0,0.0,13.573653674777324,13.607639631523588,-0.03398595674626392
-3.0,-3.0,-17.02947193095842,-17.093042335105647,0.06357040414722803
0.0,1.0,13.0,13.032268983884915,-0.03226898388491506
1.0,2.0,8.644774473012983,8.630468338685532,0.014306134327451758
-1.0,3.0,45.1449333590678,45.26258664267332,-0.11765328360552019
-3.0,-2.0,-7.492967649621705,-7.49495061368403,0.00198296406232501
4.0,-1.0,16.018207882028733,16.030071512318496,-0.01186363028976345
2.0,-2.0,20.360480512165985,20.382056747956288,-0.021576235790302434
0.0,3.0,29.0,29.048390461484995,-0.048390461484995484
-3.0,0.0,15.667114176481746,15.706666005094123,-0.03955182861237638
2.0,3.0,-0.8483533546735827,-0.8094262843952947,-0.03892707027828801
-4.0,-4.0,-23.299211464769066,-23.22532824264467,-0.07388322212439391
-3.0,-1.0,3.405894386191684,3.474057141489511,-0.068162755297827
1.0,-3.0,18.25007944302741,18.279259590926788,-0.029180147899378284
-1.0,-4.0,-8.644774473012983,-8.59657577661259,-0.04819869640039265
-4.0,-1.0,4.3686021496442,4.411979110399641,-0.04337696075544084
-4.0,-2.0,-5.824802866192266,-5.882797943380941,0.057995077188675026
-1.0,-2.0,-2.8815914910043277,-2.9155927555123307,0.034001264508003004
-1.0,0.0,10.565835467015868,10.56485979765211,9.75669363757703E-4
0.0,-4.0,8.0,7.968334373938095,0.03166562606190482
3.0,2.0,-4.768252140668357,-4.782448009406931,0.01419586873857348
-2.0,4.0,74.65509521127528,74.767686235472,-0.11259102419671763
3.0,4.0,-11.580040913051725,-11.602497434694579,0.02245652164285339
-2.0,-2.0,-6.786826837388662,-6.75526354989203,-0.031563287496632064
-4.0,2.0,40.77362006334587,40.806906894156874,-0.03328683081100792
2.0,4.0,0.0,0.005082051084720746,-0.005082051084720746
2.0,2.0,0.0,-0.03119404955650157,0.03119404955650157
4.0,-4.0,46.59842292953813,46.60141574573907,-0.002992816200936943
-4.0,4.0,69.8976343943072,69.9984085482797,-0.10077415397249467
-3.0,2.0,44.276627020491894,44.33122159911597,-0.05459457862407646
-3.0,1.0,29.290691721248482,29.283590068751188,0.007101652497293998
0.0,2.0,20.0,20.020258815485146,-0.020258815485146187
3.0,0.0,7.492967649621705,7.4978235116806,-0.0048558620588945445
-3.0,4.0,78.33557088240873,78.47195320005034,-0.1363823176416048
0.0,-2.0,4.0,4.022565892616358,-0.022565892616357885
1.0,0.0,6.723713479010097,6.73747278276607,-0.013759303755972674
-1.0,2.0,31.697506401047605,31.738124098214268,-0.04061769716666319
2.0,-1.0,12.725300320103742,12.723118123445122,0.0021821966586195174
4.0,4.0,-15.532807643179378,-15.516674770463645,-0.01613287271573327
0.0,0.0,8.0,7.993765452296174,0.006234547703826365
4.0,0.0,7.766403821589689,7.767047461464596,-6.436398749070094E-4
-2.0,2.0,40.72096102433197,40.73983251615087,-0.018871491818899244
2.0,-3.0,29.692367413575397,29.700672078523272,-0.008304664947875295
2.0,0.0,6.786826837388662,6.787190391890574,-3.6355450191205563E-4
-3.0,-4.0,-25.20361845781846,-25.202582903367446,-0.0010355544510147752
1.0,-2.0,12.486896461018754,12.478453858831262,0.008442602187491488
4.0,1.0,0.48540023884935557,0.49361024494011646,-0.00821000609076089
1.0,-1.0,8.644774473012983,8.649999133641568,-0.005224660628584843
1.0,-4.0,25.93432341903895,25.949099284871064,-0.014775865832113766
4.0,3.0,-11.164205493535178,-11.197479986100785,0.03327449256560655
0.0,4.0,40.0,40.10884368672951,-0.10884368672950728
1.0,1.0,6.723713479010097,6.744414245353984,-0.020700766343886734
-1.0,1.0,20.171140437030292,20.189001473677077,-0.017861036646785067
3.0,-4.0,48.363700283921915,48.37697246977324,-0.013272185851327833
4.0,-2.0,25.24081242016649,25.245535280240343,-0.004722860073854918
-2.0,-1.0,2.545060064020748,2.634511894787062,-0.08945183076631391
4.0,2.0,-5.824802866192266,-5.825471416900285,6.685507080188557E-4
2.0,-4.0,40.72096102433197,40.72456232802838,-0.0036013036964064327
3.0,3.0,-8.855325404098378,-8.823199654582364,-0.032125749516014324
-1.0,4.0,60.51342131109088,60.63618607735458,-0.1227647662636997
0.0,-1.0,5.0,5.00967281745892,-0.009672817458920235
-3.0,3.0,60.62492007421198,60.819197301425014,-0.19427722721303553
-2.0,-3.0,-14.422007029450906,-14.455920033975415,0.03391300452450885
3.0,-3.0,36.10248049363185,36.10256425027956,-8.375664771165248E-5
-1.0,-1.0,2.8815914910043277,2.8850548006025085,-0.0034633095981808637
-4.0,1.0,27.667813614413266,27.705685379776448,-0.03787176536318171
1.0,4.0,18.25007944302741,18.295622669418883,-0.04554322639147301
-2.0,3.0,56.83967476313004,57.01127246246331,-0.17159769933326885
-1.0,-3.0,-6.723713479010097,-6.73738161161895,0.013668132608852801
1.0,3.0,12.486896461018754,12.52603666859486,-0.039140207576107144
2.0,1.0,2.545060064020748,2.560514067148297,-0.015454003127548965
0.0,-3.0,5.0,5.065933925129755,-0.06593392512975527
3.0,-2.0,25.20361845781846,25.2109928987531,-0.007374440934640347
-4.0,3.0,54.85022698997718,54.92635505921209,-0.07612806923491178
3.0,-1.0,15.667114176481746,15.67708636569356,-0.009972189211813642
3.0,1.0,0.6811788772383368,0.6856769321669415,-0.004498054928604667
-4.0,0.0,15.532807643179378,15.601870177388774,-0.06906253420939557
4.0,-3.0,35.43421743600295,35.44970458907938,-0.015487153076428228
-2.0,-4.0,-20.360480512165985,-20.392915233808715,0.03243472164272987
-4.0,-3.0,-15.047407404330023,-15.147702696966457,0.10029529263643333
138621087391
